"s","p","o"
"http://ufs.br/ontologies#JoinedStr","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_kind","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#Load","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_keys","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#Call","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_right","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#AugAssign","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#_simple","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#AnnAssign"
"http://ufs.br/ontologies#JoinedStr","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#boolop","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#Name","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#If","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#_elts","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Set"
"http://ufs.br/ontologies#Compare","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_slice","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_op","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#boolop"
"http://ufs.br/ontologies#_test","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#While"
"http://ufs.br/ontologies#_arg","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#Tuple","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_value","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Constant"
"http://ufs.br/ontologies#Index","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#slice"
"http://ufs.br/ontologies#Assert","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#AnnAssign","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_value","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Expr"
"http://ufs.br/ontologies#_orelse","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#If"
"http://ufs.br/ontologies#_name","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#ExceptHandler"
"http://ufs.br/ontologies#_iter","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#comprehension"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Suite"
"http://ufs.br/ontologies#Slice","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#slice"
"http://ufs.br/ontologies#_op","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#BinOp"
"http://ufs.br/ontologies#Starred","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#Mod","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#operator"
"http://ufs.br/ontologies#_func","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_values","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#BoolOp"
"http://ufs.br/ontologies#TypeIgnore","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#type_ignore"
"http://ufs.br/ontologies#_names","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#alias"
"http://ufs.br/ontologies#IfExp","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_type_ignores","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_args","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_finalbody","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_level","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#_int"
"http://ufs.br/ontologies#_targets","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Assign"
"http://ufs.br/ontologies#IsNot","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#cmpop"
"http://ufs.br/ontologies#IfExp","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_ctx","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Subscript"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#FunctionDef"
"http://ufs.br/ontologies#_elt","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#SetComp"
"http://ufs.br/ontologies#_items","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#With"
"http://ufs.br/ontologies#AsyncFor","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#AugLoad","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr_context"
"http://ufs.br/ontologies#_upper","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#ExceptHandler","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_type","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Try"
"http://ufs.br/ontologies#_value","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#FormattedValue"
"http://ufs.br/ontologies#_is_async","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_left","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_cause","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Raise"
"http://ufs.br/ontologies#List","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#Yield","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#Nonlocal","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#_optional_vars","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#While","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#_annotation","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#arg"
"http://ufs.br/ontologies#_name","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#ClassDef"
"http://ufs.br/ontologies#Mult","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#operator"
"http://ufs.br/ontologies#_value","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Yield"
"http://ufs.br/ontologies#_args","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Lambda"
"http://ufs.br/ontologies#With","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#_level","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_elt","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#ListComp"
"http://ufs.br/ontologies#_args","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Call"
"http://ufs.br/ontologies#Module","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#mod"
"http://ufs.br/ontologies#Expr","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#Interactive","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#mod"
"http://ufs.br/ontologies#BitAnd","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_values","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#In","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#cmpop"
"http://ufs.br/ontologies#_kwarg","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#arg"
"http://ufs.br/ontologies#_test","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#DictComp","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_decorator_list","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#GeneratorExp","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_level","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#ImportFrom"
"http://ufs.br/ontologies#_keywords","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#If","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_target","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_elts","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_attr","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#string"
"http://ufs.br/ontologies#Delete","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#Set","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_format_spec","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#operator","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_target","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#AnnAssign"
"http://ufs.br/ontologies#_orelse","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#While"
"http://ufs.br/ontologies#_msg","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#Yield","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#type_ignore","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#YieldFrom","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_finalbody","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#Add","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_items","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#withitem"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#If"
"http://ufs.br/ontologies#Add","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#operator"
"http://ufs.br/ontologies#_slice","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Subscript"
"http://ufs.br/ontologies#_orelse","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#For"
"http://ufs.br/ontologies#With","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#Subscript","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_cause","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_items","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_value","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#NamedExpr"
"http://ufs.br/ontologies#AugAssign","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_msg","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_lineno","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#_int"
"http://ufs.br/ontologies#_lineno","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#TypeIgnore"
"http://ufs.br/ontologies#Try","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#_arg","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#arg"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#AsyncFunctionDef"
"http://ufs.br/ontologies#ClassDef","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_values","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#JoinedStr"
"http://ufs.br/ontologies#_msg","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Assert"
"http://ufs.br/ontologies#_target","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#For"
"http://ufs.br/ontologies#_orelse","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_ctx","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#LShift","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#operator"
"http://ufs.br/ontologies#USub","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#ExceptHandler","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#excepthandler"
"http://ufs.br/ontologies#Interactive","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#Set","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#Not","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#unaryop"
"http://ufs.br/ontologies#While","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_type_comment","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#AsyncWith"
"http://ufs.br/ontologies#_op","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_target","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_ops","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Compare"
"http://ufs.br/ontologies#_comparators","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#Global","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_args","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#arguments"
"http://ufs.br/ontologies#_keys","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Dict"
"http://ufs.br/ontologies#_annotation","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#With"
"http://ufs.br/ontologies#Expr","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_slice","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#slice"
"http://ufs.br/ontologies#_keys","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#BitOr","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#operator"
"http://ufs.br/ontologies#_context_expr","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_targets","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Delete"
"http://ufs.br/ontologies#withitem","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#ExtSlice","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_tag","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#TypeIgnore"
